,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
63,1863-01-01,190.35278677027804,-164.73636823030816,302.7513689942251,190.35278677027804,190.35278677027804,-116.06628606050555,-116.06628606050555,-116.06628606050555,-116.06628606050555,-116.06628606050555,-116.06628606050555,0.0,0.0,0.0,74.2865007097725
64,1864-01-01,192.14476568337878,-128.924433203345,326.88771965501854,192.14476568337878,192.14476568337878,-94.79543572767801,-94.79543572767801,-94.79543572767801,-94.79543572767801,-94.79543572767801,-94.79543572767801,0.0,0.0,0.0,97.34932995570077
65,1865-01-01,193.94165412774828,-184.61916711457502,270.10843455836687,193.94165412774828,193.94165412774828,-156.81675769144644,-156.81675769144644,-156.81675769144644,-156.81675769144644,-156.81675769144644,-156.81675769144644,0.0,0.0,0.0,37.12489643630184
66,1866-01-01,199.11923446746079,-179.38398035994317,295.5078003769783,199.11923446746079,199.11923446746079,-136.74840021666768,-136.74840021666768,-136.74840021666768,-136.74840021666768,-136.74840021666768,-136.74840021666768,0.0,0.0,0.0,62.37083425079311
67,1867-01-01,204.29681480717326,-154.6543720047971,318.82957283362947,204.29681480717326,204.29681480717326,-116.06628606039445,-116.06628606039445,-116.06628606039445,-116.06628606039445,-116.06628606039445,-116.06628606039445,0.0,0.0,0.0,88.23052874677882
68,1868-01-01,209.47439514688577,-114.04156903250227,360.3769392440509,209.47439514688577,209.47439514688577,-94.79543572762888,-94.79543572762888,-94.79543572762888,-94.79543572762888,-94.79543572762888,-94.79543572762888,0.0,0.0,0.0,114.67895941925688
69,1869-01-01,214.66616063821388,-180.44598452625897,292.07871079731234,214.66616063821388,214.66616063821388,-156.8167576915161,-156.8167576915161,-156.8167576915161,-156.8167576915161,-156.8167576915161,-156.8167576915161,0.0,0.0,0.0,57.84940294669778
70,1870-01-01,219.84374097792647,-149.7772450990827,310.18937027663776,219.84374097792647,219.84374097792647,-136.74840021663994,-136.74840021663994,-136.74840021663994,-136.74840021663994,-136.74840021663994,-136.74840021663994,0.0,0.0,0.0,83.09534076128654
71,1871-01-01,225.02132131763895,-129.347353481345,329.2178048868742,225.02132131763895,225.02132131763895,-116.06628606020132,-116.06628606020132,-116.06628606020132,-116.06628606020132,-116.06628606020132,-116.06628606020132,0.0,0.0,0.0,108.95503525743763
72,1872-01-01,230.19890165735148,-93.59448687757737,374.694819999501,230.19890165735148,230.19890165735148,-94.7954357277726,-94.7954357277726,-94.7954357277726,-94.7954357277726,-94.7954357277726,-94.7954357277726,0.0,0.0,0.0,135.40346592957889
73,1873-01-01,241.51742184230494,-155.39784954010307,315.8079850648522,241.51742184230494,241.51742184230494,-156.8167576914552,-156.8167576914552,-156.8167576914552,-156.8167576914552,-156.8167576914552,-156.8167576914552,0.0,0.0,0.0,84.70066415084975
74,1874-01-01,252.80501710872028,-110.59626733957127,357.92012457236126,252.80501710872028,252.80501710872028,-136.7484002168489,-136.7484002168489,-136.7484002168489,-136.7484002168489,-136.7484002168489,-136.7484002168489,0.0,0.0,0.0,116.05661689187139
75,1875-01-01,264.0926123751356,-91.71437259442571,397.9592009417881,264.0926123751356,264.0926123751356,-116.06628606041875,-116.06628606041875,-116.06628606041875,-116.06628606041875,-116.06628606041875,-116.06628606041875,0.0,0.0,0.0,148.02632631471687
76,1876-01-01,275.38020764155095,-50.73249329991258,423.5780418860123,275.38020764155095,275.38020764155095,-94.79543572769732,-94.79543572769732,-94.79543572769732,-94.79543572769732,-94.79543572769732,-94.79543572769732,0.0,0.0,0.0,180.58477191385361
77,1877-01-01,286.6987278265046,-104.6889580615322,352.46304273056774,286.6987278265046,286.6987278265046,-156.81675769165955,-156.81675769165955,-156.81675769165955,-156.81675769165955,-156.81675769165955,-156.81675769165955,0.0,0.0,0.0,129.88197013484503
78,1878-01-01,297.9863230929198,-77.62196511585034,400.8292957561921,297.9863230929198,297.9863230929198,-136.74840021670346,-136.74840021670346,-136.74840021670346,-136.74840021670346,-136.74840021670346,-136.74840021670346,0.0,0.0,0.0,161.23792287621635
79,1879-01-01,316.92407788127576,-33.579527737960575,429.0592442885883,316.92407788127576,316.92407788127576,-116.06628606026746,-116.06628606026746,-116.06628606026746,-116.06628606026746,-116.06628606026746,-116.06628606026746,0.0,0.0,0.0,200.8577918210083
80,1880-01-01,335.86183266963155,14.179966852095303,482.56142948186266,335.86183266963155,335.86183266963155,-94.79543572773444,-94.79543572773444,-94.79543572773444,-94.79543572773444,-94.79543572773444,-94.79543572773444,0.0,0.0,0.0,241.0663969418971
81,1881-01-01,354.8514717176818,-34.021885697597554,446.50108237069753,354.8514717176818,354.8514717176818,-156.81675769148018,-156.81675769148018,-156.81675769148018,-156.81675769148018,-156.81675769148018,-156.81675769148018,0.0,0.0,0.0,198.03471402620164
82,1882-01-01,373.7892265060378,-3.6800390218334837,469.8057657324545,373.7892265060378,373.7892265060378,-136.74840021683445,-136.74840021683445,-136.74840021683445,-136.74840021683445,-136.74840021683445,-136.74840021683445,0.0,0.0,0.0,237.04082628920332
83,1883-01-01,392.72698129439374,40.607803925441345,523.0358416467775,392.72698129439374,392.72698129439374,-116.0662860604848,-116.0662860604848,-116.0662860604848,-116.0662860604848,-116.0662860604848,-116.0662860604848,0.0,0.0,0.0,276.66069523390894
84,1884-01-01,411.6647360827497,85.11329657684784,553.8759400726042,411.6647360827497,411.6647360827497,-94.79543572761985,-94.79543572761985,-94.79543572761985,-94.79543572761985,-94.79543572761985,-94.79543572761985,0.0,0.0,0.0,316.86930035512984
